period_start,trading_end,Long,Short,distance,return_diff_entry,return_diff_exit,trigger,return,date_entry,date_exit,exit_reason,days_in_trade
2023-01-03,2024-05-31,DOV,DOW,0.25115412211547344,0.06554829440322507,0.050949575425084825,0.06273110242959472,-0.007556051932697372,2024-02-01 05:00:00+00:00,2024-02-21 05:00:00+00:00,Convergence,13
2023-01-03,2024-05-31,DOV,DOW,0.25115412211547344,0.06418465423686848,0.11288315775089175,0.06273110242959472,0.02228381225997178,2024-02-22 05:00:00+00:00,2024-03-28 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,DOV,DOW,0.25115412211547344,0.09585392817705274,0.056381161819201386,0.06273110242959472,-0.017780288048993897,2024-04-01 04:00:00+00:00,2024-04-03 04:00:00+00:00,Convergence,2
2023-01-03,2024-05-31,DOV,DOW,0.25115412211547344,0.07173564790093456,0.14114383901088634,0.06273110242959472,0.02996690353241327,2024-04-05 04:00:00+00:00,2024-05-10 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,DOV,DOW,0.25115412211547344,0.13351845638766324,0.15216008904245149,0.06273110242959472,0.010026677518580662,2024-05-13 04:00:00+00:00,2024-05-30 04:00:00+00:00,End of Period,12
2023-01-03,2024-05-31,HWM,ECL,0.2553261696741187,-0.06855896223362445,-0.038578916410387576,0.06391461649093774,-0.01203722083296399,2024-02-02 05:00:00+00:00,2024-02-13 05:00:00+00:00,Convergence,7
2023-01-03,2024-05-31,HWM,ECL,0.2553261696741187,-0.0858983292281128,-0.10329769963529456,0.06391461649093774,0.006836598115689263,2024-02-14 05:00:00+00:00,2024-03-21 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,HWM,ECL,0.2553261696741187,-0.10884485041231162,-0.06292050688102702,0.06391461649093774,-0.015251290060422251,2024-03-22 04:00:00+00:00,2024-04-22 04:00:00+00:00,Convergence,20
2023-01-03,2024-05-31,HWM,ECL,0.2553261696741187,-0.09523810265882804,-0.4231684116331573,0.06391461649093774,0.13518197568868384,2024-04-23 04:00:00+00:00,2024-05-29 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,LEN,DHI,0.25666867672512594,-0.05850080414732328,-0.07930343334685408,0.05647924320470513,0.01095523899838069,2024-01-24 05:00:00+00:00,2024-02-29 05:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,LEN,DHI,0.25666867672512594,-0.07590898543288804,-0.03498061816408571,0.05647924320470513,-0.017876073057633945,2024-03-01 05:00:00+00:00,2024-03-14 04:00:00+00:00,Convergence,9
2023-01-03,2024-05-31,LEN,DHI,0.25666867672512594,-0.061403346110146195,-0.08230720893059318,0.05647924320470513,0.01875873845129261,2024-03-25 04:00:00+00:00,2024-04-30 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,LEN,DHI,0.25666867672512594,-0.08616647945940759,-0.09712640126185446,0.05647924320470513,0.004609404312152954,2024-05-01 04:00:00+00:00,2024-05-30 04:00:00+00:00,End of Period,20
2023-01-03,2024-05-31,YUM,ATO,0.25948094449482756,0.07237651931581024,0.059869512362817234,0.0622060049270515,-0.006648973043580475,2024-02-14 05:00:00+00:00,2024-03-20 04:00:00+00:00,Convergence,24
2023-01-03,2024-05-31,YUM,ATO,0.25948094449482756,0.07908634489615207,0.06126482620553553,0.0622060049270515,-0.007508738259129677,2024-04-01 04:00:00+00:00,2024-04-04 04:00:00+00:00,Convergence,3
2023-01-03,2024-05-31,YUM,ATO,0.25948094449482756,0.06263620358541133,0.0320748517473024,0.0622060049270515,-0.014678761090321402,2024-04-09 04:00:00+00:00,2024-05-01 04:00:00+00:00,Convergence,16
2023-01-03,2024-05-31,YUM,ATO,0.25948094449482756,0.06265835326739433,0.06032093204007394,0.0622060049270515,-0.0008517995976757842,2024-05-10 04:00:00+00:00,2024-05-13 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,YUM,ATO,0.25948094449482756,0.06284040922883549,0.0788023711908179,0.0622060049270515,0.009231609398832719,2024-05-15 04:00:00+00:00,2024-05-30 04:00:00+00:00,End of Period,10
2023-01-03,2024-05-31,ETR,SRE,0.26019380673091563,0.03943363369741504,0.08122013940643713,0.037721257468742705,0.021536768630469272,2024-02-01 05:00:00+00:00,2024-03-08 05:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,ETR,SRE,0.26019380673091563,0.06179893938362757,0.10797102643651635,0.037721257468742705,0.02816098190383931,2024-03-11 04:00:00+00:00,2024-04-16 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,ETR,SRE,0.26019380673091563,0.11304154776157693,0.09372459338691885,0.037721257468742705,-0.008787012231240121,2024-04-17 04:00:00+00:00,2024-05-22 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,ETR,SRE,0.26019380673091563,0.0804117333396932,0.08343426007234878,0.037721257468742705,0.0022708111384341922,2024-05-23 04:00:00+00:00,2024-05-30 04:00:00+00:00,End of Period,4
2023-01-03,2024-05-31,EXC,WEC,0.2624840389188241,0.071662178317072,0.06364230777090474,0.06480458625541267,-0.004165453926278095,2024-02-22 05:00:00+00:00,2024-02-29 05:00:00+00:00,Convergence,5
2023-01-03,2024-05-31,EXC,WEC,0.2624840389188241,0.06564448647394461,0.09468238285216946,0.06480458625541267,0.014187988113444794,2024-03-01 05:00:00+00:00,2024-04-08 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,EXC,WEC,0.2624840389188241,0.0903853556380182,0.06229758950673925,0.06480458625541267,-0.013944101125634045,2024-04-09 04:00:00+00:00,2024-05-03 04:00:00+00:00,Convergence,18
2023-01-03,2024-05-31,EXC,WEC,0.2624840389188241,0.07062725185599139,0.05387089023175051,0.06480458625541267,-0.008594295172635213,2024-05-06 04:00:00+00:00,2024-05-08 04:00:00+00:00,Convergence,2
2023-01-03,2024-05-31,EXC,WEC,0.2624840389188241,0.07658117603402292,0.09085368035472441,0.06480458625541267,0.0108062876041366,2024-05-14 04:00:00+00:00,2024-05-30 04:00:00+00:00,End of Period,11
2023-01-03,2024-05-31,PEP,NI,0.26268398006660665,0.06820632697002649,0.025359038910925058,0.06472875902093173,-0.021536449161555282,2024-02-08 05:00:00+00:00,2024-02-09 05:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,ETR,DUK,0.263731768663706,-0.04791807259696079,-0.03948791666692386,0.046503080798742616,-0.004499929112923184,2024-02-22 05:00:00+00:00,2024-03-06 05:00:00+00:00,Convergence,9
2023-01-03,2024-05-31,ETR,DUK,0.263731768663706,-0.04762036299698447,-0.04413419077549463,0.046503080798742616,-0.0018420115025263861,2024-05-06 04:00:00+00:00,2024-05-07 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,ETR,DUK,0.263731768663706,-0.05393993935250574,-0.04092430469124775,0.046503080798742616,-0.0061289245432791795,2024-05-10 04:00:00+00:00,2024-05-17 04:00:00+00:00,Convergence,5
2023-01-03,2024-05-31,ETR,DUK,0.263731768663706,-0.0476606913504094,-0.04233670216408747,0.046503080798742616,-0.0021101528032048122,2024-05-21 04:00:00+00:00,2024-05-22 04:00:00+00:00,Convergence,1
